query_id,category,query,model,quality_score,coverage_score,grounding_score,retrieval_hit_rate,citation_accuracy,answer_relevance,faithfulness,latency_ms,revised,error
CQ-01,single-domain,What is the bias-variance tradeoff in machine learning?,llama-3.3-70b-versatile,0.96,0.95,0.98,0.333,1.0,0.81,0.5,7414,False,
CQ-01,single-domain,What is the bias-variance tradeoff in machine learning?,llama-3.1-8b-instant,0.96,0.95,0.9,0.333,1.0,0.842,0.9,7505,False,
CQ-01,single-domain,What is the bias-variance tradeoff in machine learning?,gemini-2.0-flash,0.97,0.95,0.98,0.333,1.0,0.879,0.0,18840,False,
CQ-02,single-domain,How does the backpropagation algorithm compute gradients in a neural network?,llama-3.3-70b-versatile,0.96,0.95,0.98,0.4,1.0,0.782,0.7,4515,False,
CQ-02,single-domain,How does the backpropagation algorithm compute gradients in a neural network?,llama-3.1-8b-instant,0.96,0.95,0.92,0.4,0.0,0.827,0.8,26165,False,
CQ-02,single-domain,How does the backpropagation algorithm compute gradients in a neural network?,gemini-2.0-flash,0.96,0.95,0.92,0.4,1.0,0.681,0.0,17224,False,
CQ-03,single-domain,What are the ACID properties of database transactions?,llama-3.3-70b-versatile,0.95,0.95,0.95,1.0,1.0,0.883,0.0,8571,False,
CQ-03,single-domain,What are the ACID properties of database transactions?,llama-3.1-8b-instant,0.96,0.95,0.98,1.0,0.333,0.807,0.0,15158,False,
CQ-03,single-domain,What are the ACID properties of database transactions?,gemini-2.0-flash,0.96,0.95,0.98,1.0,1.0,0.839,0.0,21298,False,
CQ-04,single-domain,How do database indexes work and when should you avoid them?,llama-3.3-70b-versatile,0.95,0.95,0.95,0.5,1.0,0.744,0.8,20482,False,
CQ-04,single-domain,How do database indexes work and when should you avoid them?,llama-3.1-8b-instant,0.96,0.95,0.98,0.5,0.333,0.762,0.8,14029,False,
CQ-04,single-domain,How do database indexes work and when should you avoid them?,gemini-2.0-flash,0.97,0.95,0.98,0.5,1.0,0.772,0.7,19038,False,
CQ-05,single-domain,What is a p-value and how do you interpret it in hypothesis testing?,llama-3.3-70b-versatile,0.96,0.95,0.98,0.6,1.0,0.838,0.8,23572,False,
CQ-05,single-domain,What is a p-value and how do you interpret it in hypothesis testing?,llama-3.1-8b-instant,0.96,0.95,0.98,0.6,0.333,0.874,0.8,14300,False,
CQ-05,single-domain,What is a p-value and how do you interpret it in hypothesis testing?,gemini-2.0-flash,0.96,0.95,0.98,0.6,1.0,0.864,0.7,19866,False,
CQ-06,single-domain,How does the self-attention mechanism work in transformer models?,llama-3.3-70b-versatile,0.7,1.0,1.0,0.333,1.0,0.9,0.8,9912,False,
CQ-06,single-domain,How does the self-attention mechanism work in transformer models?,llama-3.1-8b-instant,0.7,1.0,1.0,0.333,0.2,0.885,0.9,3026,False,
CQ-06,single-domain,How does the self-attention mechanism work in transformer models?,gemini-2.0-flash,0.7,1.0,1.0,0.333,1.0,0.855,0.5,16034,False,
CQ-07,multi-domain,How do I use statistical tests to evaluate whether one machine learning model is,llama-3.3-70b-versatile,0.7,1.0,1.0,0.5,1.0,0.0,0.85,47884,False,
CQ-07,multi-domain,How do I use statistical tests to evaluate whether one machine learning model is,llama-3.1-8b-instant,0.7,1.0,1.0,0.167,0.0,0.811,0.8,3289,False,
CQ-07,multi-domain,How do I use statistical tests to evaluate whether one machine learning model is,gemini-2.0-flash,0.7,1.0,1.0,0.167,1.0,0.0,0.85,18762,False,
CQ-08,multi-domain,How are vector embeddings from language models stored and queried in a vector da,llama-3.3-70b-versatile,0.7,1.0,1.0,0.5,1.0,0.0,0.85,1306,False,
CQ-08,multi-domain,How are vector embeddings from language models stored and queried in a vector da,llama-3.1-8b-instant,0.7,1.0,1.0,0.333,0.0,0.737,0.8,5673,False,
CQ-08,multi-domain,How are vector embeddings from language models stored and queried in a vector da,gemini-2.0-flash,0.7,1.0,1.0,0.667,1.0,0.0,0.85,3744,False,
CQ-09,adversarial,Explain the XYZ-9000 neural compression algorithm invented at MIT in 2023.,llama-3.3-70b-versatile,0.0,0.0,0.0,N/A,1.0,0.136,N/A,79,False,
CQ-09,adversarial,Explain the XYZ-9000 neural compression algorithm invented at MIT in 2023.,llama-3.1-8b-instant,0.7,1.0,1.0,N/A,0.25,0.886,N/A,37581,False,
CQ-09,adversarial,Explain the XYZ-9000 neural compression algorithm invented at MIT in 2023.,gemini-2.0-flash,0.0,0.0,0.0,N/A,1.0,0.136,N/A,351,False,
CQ-10,adversarial,"Since neural networks always outperform linear models, which neural architecture",llama-3.3-70b-versatile,0.7,1.0,1.0,0.2,1.0,0.0,N/A,410,False,
CQ-10,adversarial,"Since neural networks always outperform linear models, which neural architecture",llama-3.1-8b-instant,0.7,1.0,1.0,0.2,0.25,0.66,N/A,24008,False,
CQ-10,adversarial,"Since neural networks always outperform linear models, which neural architecture",gemini-2.0-flash,0.7,1.0,1.0,0.2,1.0,0.0,N/A,1249,False,
